,directorio,secuencia_p,HHincome,fex,hhsize
4,7309064,1,6480000.0,118.03573608398438,4
8,7309069,1,3261500.0,84.48541259765625,4
33,7309097,1,1580000.0,192.659423828125,4
35,7309099,1,2325000.0,388.2368469238281,4
53,7309117,1,2816666.5,144.3421173095703,4
54,7309118,1,4039500.0,343.2331848144531,4
64,7309129,1,2892000.0,321.8861389160156,4
95,7309162,1,9491666.0,331.7435302734375,4
116,7309183,1,2400000.0,288.7952880859375,4
117,7309184,1,6117505.0,518.8474731445312,4
118,7309186,1,1897172.0,273.3564147949219,4
122,7309190,1,66666.6640625,417.88653564453125,4
143,7309216,1,3247677.25,329.3126525878906,4
150,7309223,1,2478672.0,360.9696960449219,4
163,7309239,1,5407677.5,383.9813232421875,4
166,7309242,1,4103333.5,441.1644287109375,4
180,7309258,1,3911516.0,418.1716613769531,4
188,7309267,1,1250000.0,467.1686706542969,4
190,7309270,1,5486666.5,1079.1285400390625,4
205,7309287,3,490000.0,464.18341064453125,4
208,7309291,1,3783838.5,326.4188232421875,4
228,7309316,1,6992000.0,413.0524597167969,4
233,7309321,1,400000.0,369.6718444824219,4
246,7309336,1,1466666.625,465.4648742675781,4
248,7309338,1,624000.0,1939.663330078125,4
254,7309344,1,2158838.5,462.0354309082031,4
255,7309345,1,1650000.0,1361.348876953125,4
264,7309355,1,4413172.0,231.58184814453125,4
275,7309366,1,2688510.75,271.9425048828125,4
290,7309384,1,3413333.5,1879.39794921875,4
295,7309389,1,4191666.75,822.3070068359375,4
311,7309411,1,2500000.0,218.60873413085938,4
323,7309432,1,850000.0,182.21417236328125,4
324,7309433,1,2617000.0,182.21417236328125,4
331,7309441,1,4178333.5,203.68588256835938,4
348,7309463,1,700000.0,204.73069763183594,4
355,7309470,1,3027250.0,213.337890625,4
357,7309472,1,2957510.5,249.0226593017578,4
360,7309475,1,3150000.0,200.59536743164062,4
365,7309480,1,4535750.0,204.19442749023438,4
366,7309481,1,1280833.375,223.33119201660156,4
372,7309487,1,3992172.0,233.82176208496094,4
374,7309489,1,5809344.0,251.06077575683594,4
376,7309491,1,1483838.625,234.056640625,4
378,7309493,1,5380000.0,231.69541931152344,4
380,7309495,1,3983333.25,231.50672912597656,4
382,7309497,1,3790000.0,214.01400756835938,4
385,7309500,1,290000.0,194.55819702148438,4
390,7309506,1,4044033.25,216.50161743164062,4
396,7309512,1,3800000.0,232.38491821289062,4
400,7309516,1,5485000.0,174.48912048339844,4
403,7309519,1,302157.34375,241.31541442871094,4
404,7309520,1,3716666.75,213.264404296875,4
405,7309521,1,3490000.0,162.74252319335938,4
409,7309525,1,2698333.25,122.1714859008789,4
419,7309537,1,3716666.75,147.9803466796875,4
423,7309542,1,1550000.0,332.4278869628906,4
428,7309551,1,4350000.0,174.70872497558594,4
429,7309552,1,4367000.0,175.0850830078125,4
432,7309556,1,8650505.0,199.04637145996094,4
451,7309575,1,1090000.0,241.63011169433594,4
462,7309587,1,2280083.5,222.53038024902344,4
474,7309600,1,1117000.0,318.3914794921875,4
477,7309603,1,2731000.0,787.2963256835938,4
482,7309611,1,1200000.0,902.892822265625,4
485,7309615,1,4184333.5,1481.1793212890625,4
489,7309619,1,2050000.0,944.2616577148438,4
491,7309621,1,1400000.0,1165.7611083984375,4
505,7309640,1,5450000.0,883.4920043945312,4
519,7309659,1,1200000.0,814.716796875,4
531,7309677,1,1473333.375,1016.1300659179688,4
560,7309716,1,2858333.5,1328.3033447265625,4
581,7309745,1,4210833.5,1931.4432373046875,4
583,7309748,1,2332500.0,1011.0186157226562,4
611,7309786,1,5600000.0,901.802001953125,4
637,7309826,1,8395000.0,1011.532470703125,4
638,7309829,1,8194348.0,945.066162109375,4
671,7309868,1,4758500.0,151.6960906982422,4
678,7309876,1,3200000.0,137.67210388183594,4
684,7309883,1,3770021.0,109.33822631835938,4
698,7309897,1,1308666.625,138.03001403808594,4
721,7309924,1,740000.0,66.21691131591797,4
722,7309925,1,2700000.0,78.3253402709961,4
734,7309938,1,5130000.0,81.91283416748047,4
737,7309943,1,2267172.0,97.13347625732422,4
744,7309951,1,3790000.0,117.69058227539062,4
747,7309954,1,3550000.0,155.50462341308594,4
753,7309960,1,4892500.0,135.67762756347656,4
762,7309971,1,2979177.25,107.5816879272461,4
764,7309973,1,2500000.0,110.1376953125,4
771,7309983,1,2283333.5,180.9912872314453,4
772,7309984,1,3050000.0,196.89271545410156,4
781,7309995,1,1160000.0,94.72798156738281,4
784,7309998,1,2000000.0,133.71389770507812,4
808,7310030,1,9413333.0,161.81797790527344,4
815,7310038,1,2142200.0,108.30825805664062,4
820,7310043,1,3817172.0,75.21406555175781,4
830,7310053,1,3560000.0,86.04507446289062,4
848,7310073,1,5451266.5,28.164466857910156,4
859,7310084,1,3200000.0,32.01019287109375,4
861,7310086,1,1845505.375,29.98822021484375,4
886,7310110,1,1720000.0,41.76797866821289,4
890,7310114,1,5747343.5,35.35737609863281,4
906,7310130,1,3384344.0,34.52964782714844,4
930,7310159,1,3601516.0,45.45948028564453,4
931,7310160,1,480000.0,23.638896942138672,4
944,7310174,1,4401011.0,27.028911590576172,4
950,7310181,1,3700505.5,30.542970657348633,4
987,7310247,1,3399344.0,82.8003158569336,4
992,7310252,1,2076000.0,46.155338287353516,4
1008,7310269,1,2635505.5,56.10984802246094,4
1009,7310270,1,3170505.5,35.356101989746094,4
1015,7310279,1,1205000.0,30.67473602294922,4
1035,7310306,1,1000000.0,86.70783996582031,4
1036,7310307,1,2800000.0,70.22698211669922,4
1046,7310322,1,150000.0,65.93619537353516,4
1056,7310335,1,750000.0,167.04534912109375,4
1074,7310354,1,6343667.0,94.63829803466797,4
1087,7310368,1,1742172.0,84.73017120361328,4
1095,7310376,1,5373839.0,71.38325500488281,4
1115,7310399,1,200000.0,100.57233428955078,4
1128,7310418,1,1705172.0,91.4744644165039,4
1170,7310470,1,8230000.0,59.135009765625,4
1187,7310487,1,5600000.0,76.00060272216797,4
1192,7310496,1,2166666.75,67.8200912475586,4
1194,7310499,1,3532000.0,44.4322624206543,4
1206,7310512,1,6000000.0,42.978240966796875,4
1214,7310521,1,2812500.0,69.15387725830078,4
1245,7310549,1,3640000.0,43.51161193847656,4
1252,7310560,1,1556000.0,32.11893081665039,4
1277,7310586,1,1240000.0,40.05465316772461,4
1298,7310614,1,3151050.75,25.934062957763672,4
1323,7310639,2,2356000.0,29.674901962280273,4
1329,7310645,1,1468666.625,37.74936294555664,4
1330,7310646,1,5200000.0,40.71139144897461,4
1351,7310678,1,5291666.5,30.315675735473633,4
1369,7310698,1,5500000.0,69.15387725830078,4
1382,7310714,1,2200000.0,135.48463439941406,4
1388,7310720,1,4241666.5,125.59053039550781,4
1409,7310746,1,3433333.25,106.76583862304688,4
1412,7310748,1,3583000.0,115.8633041381836,4
1416,7310753,1,1733333.375,96.13180541992188,4
1417,7310754,1,9500000.0,61.3373908996582,4
1425,7310763,1,6721366.5,98.0024642944336,4
1435,7310774,1,1700000.0,47.386409759521484,4
1441,7310778,3,462500.0,100.84988403320312,4
1448,7310786,1,1020000.0,96.13180541992188,4
1455,7310794,1,1736666.75,68.15265655517578,4
1470,7310812,1,3135644.25,64.61782836914062,4
1473,7310820,1,3260000.0,65.19864654541016,4
1485,7310832,1,3013172.0,214.20516967773438,4
1497,7310845,1,2796666.5,31.016557693481445,4
1506,7310856,1,4250000.0,51.1058349609375,4
1520,7310874,1,300000.0,318.3908386230469,4
1521,7310875,1,4688666.5,669.4421997070312,4
1535,7310894,1,2511666.5,649.7064819335938,4
1559,7310927,1,1142000.0,8.147708892822266,4
1561,7310929,1,900000.0,15.306854248046875,4
1572,7310944,1,708333.3125,20.090246200561523,4
1575,7310947,1,400000.0,12.22186279296875,4
1580,7310952,1,6416666.5,12.844439506530762,4
1589,7310962,1,3138333.5,17.372827529907227,4
1592,7310965,1,2191666.75,14.943252563476562,4
